Measure,Type,4-yr $m,Independent verdict
Salmonid royalty (10% of farmgate),New revenue,434.8,Plausible — base is conservative; legal/industry risk
Rezoning windfall levy (75%),New revenue,186.9,Aggressive — above Victoria's 50%; no baseline disclosed
Pokies tax lifted to 45%,New revenue,174.4,Plausible — ignores behavioural drop
Mineral royalties to national average,New revenue,63.0,Plausible
Restore casino tax rates,New revenue,36.0,Plausible
Vacant property levy (1%),New revenue,35.3,Plausible
No Macquarie Point Stadium,Capital saving,567.8,Supported — matches the official allocation to the dollar
Common ticketing capital,Capital saving,65.0,Unverifiable from official papers
Unnecessary parks spending,Capital saving,55.0,Unverifiable from official papers
No maximum-security prison,Capital saving,44.0,Unverifiable from official papers
Southern Outlet transit lane,Capital saving,20.0,Unverifiable from official papers
No Marinus Link,Operational saving,311.0,Aggressive — overstates the State's real exposure
TasRacing deed,Operational saving,157.0,Plausible order; not in the papers
MPDC operating costs,Operational saving,61.0,Plausible
End native forest logging,Operational saving,48.0,Plausible — tracks STT subsidy estimates
Office of the Coordinator-General,Operational saving,22.0,Unverifiable from official papers
Tourism marketing,Operational saving,17.0,Unverifiable from official papers
Launceston Convention Centre,Operational saving,10.0,Unverifiable from official papers
Common ticketing project costs,Operational saving,9.1,Unverifiable from official papers
AI Accelerator,Operational saving,8.0,Plausible
Strategic Business Support,Operational saving,7.0,Unverifiable from official papers
Trade Strategy 2030,Operational saving,5.5,Unverifiable from official papers
Health (cut restored),Restored service,702.6,Supported — matches official efficiency line
State Growth (cut restored),Restored service,287.0,Supported — matches official efficiency line
Education & young people (cut restored),Restored service,228.2,Supported — matches official efficiency line
Police Fire & Emergency (cut restored),Restored service,72.0,Supported — matches official efficiency line
Justice (cut restored),Restored service,66.0,Supported — matches official efficiency line
Environment / NRE (cut restored),Restored service,58.0,Supported — matches official efficiency line
Premier & Cabinet (cut restored),Restored service,47.0,Supported — matches official efficiency line
Tourism Tasmania (cut restored),Restored service,13.0,Supported — matches official efficiency line
Treasury & Finance (cut restored),Restored service,9.0,Supported — matches official efficiency line
